"last_name, first_name",player_id,year,k_percent,bb_percent,babip,p_era,p_called_strike,p_hit_fly,p_hit_ground,p_hit_line_drive,p_out_fly,p_out_ground,p_out_line_drive,p_total_strike,xwoba,exit_velocity_avg,barrel_batted_rate,hard_hit_percent,z_swing_miss_percent,oz_swing_percent,in_zone_percent,whiff_percent,f_strike_percent,Fly Ball total,Ground ball total,Line Drve total,All Balls in play,GB RATE,FB RATE,LD RATE,Called strike share,miss proxy %
"Quintana, Jose",500779,2025,16,9,0.26,3.96,389,25,37,58,85,139,40,1329,0.346,88.7,9.7,41.7,11.8,26.9,46.8,18.4,59.7,110,176,98,384,0.458333333,0.286458333,0.255208333,0.292701279,0.151
"Peralta, Freddy",642547,2025,28.2,9.1,0.246,2.7,456,30,33,59,97,133,41,1902,0.29,88,9.3,34.5,21.6,28.4,45,30.1,63.3,127,166,100,393,0.422391858,0.323155216,0.254452926,0.239747634,0.2585
"Littell, Zack",641793,2025,17.1,4.2,0.25,3.81,423,40,58,76,121,181,58,1867,0.323,90.2,9.9,40.9,14,30.8,54.1,20.4,63.4,161,239,134,534,0.447565543,0.301498127,0.25093633,0.226566685,0.172
"Walker, Taijuan",592836,2025,16,7.8,0.289,4.08,359,25,43,64,72,139,29,1288,0.326,89.6,7.4,41.4,12.3,25.8,50.6,18.5,61.5,97,182,93,372,0.489247312,0.260752688,0.25,0.278726708,0.154
"Boyd, Matthew",571510,2025,21.4,5.8,0.276,3.21,429,35,56,63,115,144,45,1843,0.3,88.5,9,38,17.7,28.8,54.5,23.1,67.8,150,200,108,458,0.436681223,0.327510917,0.23580786,0.232772653,0.204
"Rodón, Carlos",607074,2025,25.7,9.3,0.23,3.09,547,34,45,52,102,177,55,2010,0.283,88.6,7.5,38.9,19.7,29.2,46.2,30.3,62,136,222,107,465,0.477419355,0.292473118,0.230107527,0.272139303,0.25
"Strider, Spencer",675911,2025,24.3,9.5,0.317,4.45,285,33,32,58,73,99,33,1290,0.339,91.3,10.6,42.7,17.5,28.8,46.4,30.6,59.2,106,131,91,328,0.399390244,0.323170732,0.277439024,0.220930233,0.2405
"Irvin, Jake",663623,2025,15.8,7.9,0.282,5.7,524,53,64,77,111,195,61,1901,0.36,90.4,11.9,47.1,11.7,26.6,55.1,18.2,64.9,164,259,138,561,0.461675579,0.292335116,0.245989305,0.275644398,0.1495
"Fried, Max",608331,2025,23.6,6.4,0.28,2.86,516,34,64,64,81,226,44,1974,0.287,87.2,6.9,37.2,18.5,27.6,49.4,26.6,60.3,115,290,108,513,0.565302144,0.22417154,0.210526316,0.261398176,0.2255
"Webb, Logan",657277,2025,26.2,5.4,0.349,3.22,648,26,74,110,69,240,37,2165,0.294,89.7,8.3,40.2,13.8,29.7,49.4,24.7,68.5,95,314,147,556,0.564748201,0.170863309,0.264388489,0.299307159,0.1925
"Verlander, Justin",434378,2025,20.7,7.9,0.31,3.85,436,32,43,80,102,123,38,1708,0.319,88.6,8.1,37,19.3,28.1,51,24.8,62.2,134,166,118,418,0.397129187,0.320574163,0.282296651,0.255269321,0.2205
"Smith, Shane",681343,2025,23.5,9.4,0.262,3.81,363,18,43,56,93,122,49,1531,0.31,90.3,6.7,45.4,20,25.1,53.7,27.7,60.4,111,165,105,381,0.433070866,0.291338583,0.275590551,0.237099935,0.2385
"Allen, Logan",671106,2025,18,9.2,0.299,4.25,469,28,67,61,82,154,47,1669,0.325,88.6,9.1,37.5,15.5,23.5,49.3,20.6,61.8,110,221,108,439,0.503416856,0.250569476,0.246013667,0.281006591,0.1805
"Lugo, Seth",607625,2025,20.5,9,0.268,4.15,449,30,40,63,86,127,50,1493,0.349,90.7,11.1,45.2,13.4,23.8,51.2,20.6,66.8,116,167,113,396,0.421717172,0.292929293,0.285353535,0.300736772,0.17
"Falter, Bailey",663559,2025,15.6,8.9,0.261,4.45,330,24,30,61,85,111,34,1246,0.34,90.5,9.5,45.1,13.2,24.8,53.7,18.1,57.5,109,141,95,345,0.408695652,0.315942029,0.275362319,0.264847512,0.1565
"Holmes, Clay",605280,2025,18.2,9.3,0.281,3.53,497,22,60,68,66,219,38,1736,0.322,89.7,6.8,42.3,11.8,29.3,48.4,22.1,60.3,88,279,106,473,0.589852008,0.186046512,0.22410148,0.286290323,0.1695
"Mikolas, Miles",571945,2025,14.9,5.5,0.281,4.84,449,43,53,73,116,163,42,1640,0.351,89.3,12.7,41.8,13,25.5,55.9,16.5,69.5,159,216,115,490,0.440816327,0.324489796,0.234693878,0.273780488,0.1475
"Sánchez, Cristopher",650911,2025,26.3,5.5,0.299,2.5,507,19,76,75,72,243,45,1940,0.271,89,5.7,39.8,22,31.6,51.9,30.4,65.4,91,319,120,530,0.601886792,0.171698113,0.226415094,0.261340206,0.262
"Corbin, Patrick",571578,2025,19.8,7.7,0.308,4.4,415,32,48,80,96,148,40,1614,0.335,89.2,8.4,40.4,15.9,29.6,47.1,26.9,65.5,128,196,120,444,0.441441441,0.288288288,0.27027027,0.257125155,0.214
"Valdez, Framber",664285,2025,23.3,8.5,0.299,3.66,495,19,74,77,65,247,39,1861,0.301,90.8,6.7,46.3,15.3,29.8,51.1,26.6,61.7,84,321,116,521,0.616122841,0.161228407,0.222648752,0.265986029,0.2095
"Bassitt, Chris",605135,2025,22.6,7.1,0.315,3.96,482,39,48,86,69,185,34,1805,0.317,87.7,8.5,36.6,18.5,25.2,51.8,23.3,59.6,108,233,120,461,0.505422993,0.234273319,0.260303688,0.267036011,0.209
"Ryan, Joe",657746,2025,28.2,5.7,0.269,3.42,443,39,47,52,103,117,35,1832,0.289,90.2,11.5,41.9,21.9,25.2,55,26.1,66,142,164,87,393,0.417302799,0.361323155,0.221374046,0.241812227,0.24
"Sale, Chris",519242,2025,32.4,6.3,0.315,2.58,364,19,32,50,72,89,23,1357,0.263,87.2,6.3,35.4,18.9,32.2,52.6,30.1,67.5,91,121,73,285,0.424561404,0.319298246,0.256140351,0.268238762,0.245
"Cease, Dylan",656302,2025,29.8,9.8,0.323,4.55,426,40,46,66,86,114,34,1924,0.289,88.9,8.6,37.5,22.7,31,46.5,33.4,60.1,126,160,100,386,0.414507772,0.32642487,0.259067358,0.221413721,0.2805
"Vásquez, Randy",681190,2025,13.7,9.1,0.261,3.84,365,24,50,51,94,124,38,1362,0.353,89.1,10.9,39.3,11.4,25.1,53.5,15.7,60.5,118,174,89,381,0.456692913,0.309711286,0.233595801,0.267988253,0.1355
"Skenes, Paul",694973,2025,29.5,5.7,0.273,1.97,464,25,42,69,90,167,38,1952,0.253,87.6,5.8,40.1,23.3,30.5,50.8,30.1,60.8,115,209,107,431,0.484918794,0.266821346,0.248259861,0.237704918,0.267
"Hendricks, Kyle",543294,2025,16.4,6.2,0.281,4.76,480,38,49,80,114,160,38,1715,0.308,86.1,8.3,34.3,14.8,31.6,50.3,18.3,65.6,152,209,118,479,0.436325678,0.317327766,0.246346555,0.279883382,0.1655
"Rodriguez, Eduardo",593958,2025,20.6,8.6,0.333,5.02,404,38,52,87,75,138,46,1624,0.327,88.2,8.2,35.2,17.7,29.2,47.8,23,58.9,113,190,133,436,0.435779817,0.259174312,0.305045872,0.248768473,0.2035
"Nelson, Ryne",669194,2025,21.3,6.6,0.252,3.39,371,25,37,62,97,140,54,1613,0.306,91.4,7.5,45.5,15.6,27.8,52.5,21.6,62.2,122,177,116,415,0.426506024,0.293975904,0.279518072,0.2300062,0.186
