"last_name, first_name",player_id,year,pa,k_percent,bb_percent,woba,xwoba,avg_swing_speed,attack_angle,exit_velocity_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,poorlytopped_percent,hard_hit_percent,oz_swing_percent,iz_contact_percent,whiff_percent,pull_percent,straightaway_percent,opposite_percent,groundballs_percent,flyballs_percent,linedrives_percent,n,ff_avg_speed,ff_avg_spin,ff_avg_break,sl_avg_speed,sl_avg_spin,sl_avg_break,ch_avg_speed,ch_avg_spin,ch_avg_break,cu_avg_speed,cu_avg_spin,cu_avg_break,si_avg_speed,si_avg_spin,si_avg_break,fc_avg_speed,fc_avg_spin,fc_avg_break,fs_avg_speed,fs_avg_spin,fs_avg_break,st_avg_speed,st_avg_spin,st_avg_break,sv_avg_speed,sv_avg_spin,sv_avg_break,fo_avg_speed,fo_avg_spin,fo_avg_break,sc_avg_speed,sc_avg_spin,sc_avg_break,fastball_avg_speed,fastball_avg_spin,fastball_avg_break_x,fastball_avg_break_z,fastball_avg_break_z_induced,fastball_avg_break,breaking_avg_speed,breaking_avg_spin,breaking_avg_break_x,breaking_avg_break_z,breaking_avg_break_z_induced,offspeed_avg_speed,offspeed_avg_spin,offspeed_avg_break_x,offspeed_avg_break_z,offspeed_avg_break_z_induced,offspeed_avg_break,Miss_Ability,Damage_Allowed,Air_Ball_Rate,ER,IP,ERA
"Quintana, Jose",500779,2025,556,16,9,0.308,0.346,72,9.9,88.7,35,9.7,6.8,33.3,41.7,26.9,88.2,18.4,31.3,42.5,26.2,42.7,27.2,24,2174,90.4,2095,16.7,,,,85.6,1354,15.4,78.2,2178,8.7,90.5,2094,18.4,,,,,,,,,,78.5,2202,10.7,,,,,,,90.5,2094,11.8,-20.6,12.9,18.1,78.3,2187,-7.5,-48.7,-4.2,85.6,1354,14.7,-33.8,3.7,15.4,0.190333333,29.738,0.512,58,131.2,3.978658537
"Peralta, Freddy",642547,2025,723,28.2,9.1,0.27,0.29,71.5,10.4,88,33.9,9.3,5.2,26.9,34.5,28.4,78.3,30.1,34.1,36.3,29.6,37.5,28.9,22.6,3086,94.8,2441,17.5,83.7,2454,9.2,88.9,1929,17.3,78.8,2336,8.3,,,,,,,,,,,,,,,,,,,,,,94.8,2441,-4.6,-13.9,16.8,17.5,80.7,2380,5.5,-43.9,-1.5,88.9,1929,-16.8,-31.2,3.7,17.3,0.267333333,29.47933333,0.515,53,176.2,2.707150965
"Littell, Zack",641793,2025,759,17.1,4.2,0.311,0.323,72.3,11.6,90.2,32.7,9.9,7.3,29,40.9,30.8,85.9,20.4,40.9,38.8,20.3,40.7,27.8,23.3,2788,92.1,2005,17.8,87.3,2199,7.7,,,,,,,91.5,2028,18.9,,,,83.4,1105,12.2,79.5,2166,12.5,,,,,,,,,,91.9,2014,-10,-17.8,14.6,18.2,86,2194,3,-31.6,5.4,83.4,1105,-11.7,-40.4,-0.9,12.2,0.217666667,30.236,0.511,79,186.2,3.818474758
"Walker, Taijuan",592836,2025,538,16,7.8,0.337,0.326,72.4,11.1,89.6,32.3,7.4,7.1,33,41.4,25.8,87.7,18.5,37.9,37.4,24.6,44.8,24.6,22.9,2061,92.2,2128,19.5,83.6,2467,9.2,,,,74.9,2420,12.5,92,1963,19.4,87.1,2434,13.3,87.4,1454,13.3,,,,,,,,,,,,,89.6,2226,-4.9,-20.8,13.3,16.3,80.4,2450,6.8,-43,-0.3,87.4,1454,-12.4,-31.9,3.9,13.3,0.188666667,30.02933333,0.475,56,123.2,4.090909091
"Boyd, Matthew",571510,2025,718,21.4,5.8,0.287,0.3,71.8,9.2,88.5,31.4,9,4.7,24.8,38,28.8,82.3,23.1,36.6,36.3,27.1,39,30.4,21.1,2746,93.3,2318,18.6,82,2485,3.6,78.7,1818,16.9,73.5,2326,14.2,91.5,2280,19.5,,,,,,,,,,,,,,,,,,,93.2,2316,13.5,-18.9,12.7,18.6,78.3,2416,-6.1,-48.6,-3.5,78.7,1818,15.7,-38.5,5.7,16.9,0.232,29.65666667,0.515,64,179.2,3.214285714
"Rodón, Carlos",607074,2025,789,25.7,9.3,0.266,0.283,72.5,11.6,88.6,32.3,7.5,6.5,31.2,38.9,29.2,80.3,30.3,37.3,37.7,25,44,27.6,21.6,3212,94.1,2347,20.8,85.9,2633,6.5,85,1650,13.4,80.3,2717,15.2,91.9,2256,16,92.4,2383,9.5,,,,,,,,,,,,,,,,93.7,2330,11.5,-15.9,15.5,19.8,85.2,2643,-5.8,-40,-2.2,85,1650,12.7,-34.2,3.7,13.4,0.264,29.688,0.492,67,195.1,3.090722706
"Strider, Spencer",675911,2025,539,24.3,9.5,0.344,0.339,71.6,11,91.3,39.5,10.6,7.7,28.1,42.7,28.8,82.5,30.6,40.4,35.8,23.8,37.5,31.5,26.1,2110,95.5,2300,18.8,84.1,2285,6.2,85.9,1957,15.8,78.4,2662,12.3,,,,,,,,,,,,,,,,,,,,,,95.5,2300,-8.9,-13.7,16.4,18.8,83,2361,6.1,-39,0.7,85.9,1957,-14,-30.5,6.6,15.8,0.256333333,30.611,0.576,62,125.1,4.460431655
"Irvin, Jake",663623,2025,787,15.8,7.9,0.355,0.36,72,11.3,90.4,34.8,11.9,5.2,30.6,47.1,26.6,88.3,18.2,43.2,36.8,20,43.5,27.9,23.2,2944,92.4,2332,17.6,83.7,2488,8,85.6,2198,16.5,77.8,2486,15.8,91.9,2290,17.9,87.4,2469,8,,,,,,,,,,,,,,,,91.8,2326,-11.2,-21.5,11,17,78.6,2486,13.9,-48.2,-3.6,85.6,2198,-15.6,-32.6,4.7,16.5,0.188333333,30.33,0.511,114,180,5.7
"Fried, Max",608331,2025,801,23.6,6.4,0.272,0.287,71.9,8.3,87.2,29.6,6.9,4,37.4,37.2,27.6,81.5,26.6,41,36.7,22.3,52.6,21.2,20.1,3109,95.8,2211,15.4,85.3,2538,6.7,85.2,1659,14.1,75.2,2920,20,94,2132,11.1,93.6,2302,9.3,,,,81.5,2838,18.2,,,,,,,,,,94.2,2231,3,-21.9,8.8,11.2,78.2,2864,-12.7,-56.4,-10.9,85.2,1659,13.4,-34.1,3.6,14.1,0.242333333,29.21366667,0.413,62,195.1,2.860071758
"Webb, Logan",657277,2025,856,26.2,5.4,0.303,0.294,71.9,8.3,89.7,32.8,8.3,4.1,40.4,40.2,29.7,86.2,24.7,36.3,39.6,24.2,54.2,16.9,25.6,3282,92.8,2118,14.1,,,,86.5,1502,10.5,,,,92.6,1959,15.9,91.1,2225,8.2,,,,84.6,2543,14.8,,,,,,,,,,92.4,2027,-12.5,-28.9,3.2,14.4,84.6,2543,14.6,-38.7,-0.5,86.5,1502,-8.5,-42,-5.6,10.5,0.227333333,30.06166667,0.425,74,207,3.217391304
