Stat,Standardized_Impact,Abs_Impact
ERA,-9.324661028878907,9.324661028878907
HR,9.245594430677457,9.245594430677457
BB,7.148036704364704,7.148036704364704
OBP,7.002755492133203,7.002755492133203
SB,6.5147395134087684,6.5147395134087684
OPS,6.136763947069228,6.136763947069228
HR/9,-5.85250519872032,5.85250519872032
SLG,5.419670666202162,5.419670666202162
HR_allowed,-5.03842809410494,5.03842809410494
H/9,-4.754019428863223,4.754019428863223
H_allowed,-4.726102904144353,4.726102904144353
WHIP,-4.700530809253854,4.700530809253854
IP,4.58656032809098,4.58656032809098
BABIP,-4.177508298425925,4.177508298425925
TB,3.7796378563960644,3.7796378563960644
BB/9,-3.53170924319595,3.53170924319595
BB_allowed,-3.2667699405680635,3.2667699405680635
G,-2.8469908522429543,2.8469908522429543
AVG,2.6121594393906453,2.6121594393906453
BB%,-2.5163073266182465,2.5163073266182465
K%,1.8144246420162835,1.8144246420162835
K/BB,1.7914121391061322,1.7914121391061322
HBP,-1.7733502808403445,1.7733502808403445
SO,-1.1573293773573372,1.1573293773573372
XBH,1.04823302042778,1.04823302042778
K/9,-0.9765872670492164,0.9765872670492164
H,0.8563310004522808,0.8563310004522808
CS,0.022320453869107526,0.022320453869107526
